City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,qaqortoq,60.72,-46.03,66.2,39,20,2.24,GL,1595255928
148,maputo,-25.97,32.59,73.4,56,20,11.41,MZ,1595255929
149,bayamo,20.38,-76.64,82.4,74,75,6.93,CU,1595255929
150,ponta do sol,17.2,-25.09,84.2,70,20,9.17,CV,1595255929
151,ribeira grande,38.52,-28.7,75.2,60,75,6.93,PT,1595255855
152,fort morgan,40.25,-103.8,66.2,68,1,7.11,US,1595255772
153,praya,-8.71,116.27,75.2,100,40,3.36,ID,1595255929
154,rio grande,-32.03,-52.1,84.2,48,13,5.82,BR,1595255762
155,maturin,9.75,-63.18,86.11,64,27,5.73,VE,1595255929
156,alofi,-19.06,-169.92,75.2,100,75,6.93,NU,1595255930
157,miles city,46.41,-105.84,62.6,77,1,16.11,US,1595255930
158,esperance,-33.87,121.9,51.8,76,90,6.93,AU,1595255930
159,skjervoy,70.03,20.97,57.2,82,100,8.05,NO,1595255930
160,dwarka,22.24,68.97,85.41,78,74,19.15,IN,1595255930
161,melfi,11.06,17.94,77.54,80,99,4.41,TD,1595255931
163,moron,22.11,-78.63,75.2,94,75,5.82,CU,1595255931
166,hailar,49.2,119.7,53.4,65,37,11.25,CN,1595255931
167,port lincoln,-34.73,135.87,52.9,64,41,4.41,AU,1595255931
168,pangkalanbuun,-2.68,111.62,73.08,94,0,2.75,ID,1595255932
169,bambous virieux,-20.34,57.76,71.6,60,75,11.41,MU,1595255929
170,glendive,47.11,-104.71,60.8,87,40,9.17,US,1595255932
171,galveston,29.37,-94.97,82.99,83,20,13.87,US,1595255856
172,boa vista,2.82,-60.67,82.4,78,75,2.24,BR,1595255932
173,koslan,63.46,48.9,74.16,48,7,7.94,RU,1595255932
174,sinjar,36.32,41.88,106.75,7,0,20.15,IQ,1595255932
175,lensk,60.73,114.93,55.08,93,100,5.7,RU,1595255933
176,caucaia,-3.74,-38.65,82.4,65,75,14.99,BR,1595255933
177,butaritari,3.07,172.79,82.76,67,99,7.67,KI,1595255933
178,kruisfontein,-34.0,24.73,61.63,79,0,5.61,ZA,1595255933
179,fairbanks,64.84,-147.72,57.2,93,1,1.36,US,1595255933
180,clyde river,70.47,-68.59,42.8,100,90,9.17,CA,1595255933
181,gorontalo,0.54,123.06,75.36,89,69,2.8,ID,1595255934
182,mar del plata,-38.0,-57.56,53.6,100,90,11.41,AR,1595255847
183,guane,22.2,-84.09,84.87,75,49,8.66,CU,1595255934
184,lompoc,34.64,-120.46,57.2,87,51,5.82,US,1595255850
185,baherden,38.44,57.43,103.78,8,0,12.64,TM,1595255934
186,cidreira,-30.18,-50.21,72.91,67,0,3.18,BR,1595255934
187,nizwa,22.93,57.53,99.21,30,92,5.12,OM,1595255935
188,nome,64.5,-165.41,46.4,100,90,4.7,US,1595255935
189,coos bay,43.37,-124.22,57.0,100,90,5.82,US,1595255935
190,awbari,26.59,12.78,103.41,13,0,13.06,LY,1595255935
191,port elizabeth,-33.92,25.57,62.6,88,20,13.87,ZA,1595255935
192,vulcan,50.4,-113.25,57.0,88,40,3.0,CA,1595255935
193,tautira,-17.73,-149.15,71.6,88,95,4.7,PF,1595255935
194,port hardy,50.7,-127.42,51.8,100,75,2.24,CA,1595255936
195,saint-francois,16.25,-61.27,86.0,66,20,11.41,GP,1595255936
196,provideniya,64.38,-173.3,45.97,74,76,3.91,RU,1595255856
197,mayo,63.59,-135.9,55.4,87,90,2.24,CA,1595255936
198,stepnyak,52.83,70.78,73.44,62,84,4.18,KZ,1595255936
199,fenoarivo,-18.93,47.44,59.0,62,75,13.87,MG,1595255936
200,rorvik,64.86,11.24,57.2,71,75,8.05,NO,1595255937
201,tianpeng,30.99,103.94,78.01,1,100,1.01,CN,1595255937
202,port-cartier,50.03,-66.87,71.6,94,90,6.93,CA,1595255937
203,coahuayana,18.73,-103.68,73.4,73,5,13.87,MX,1595255937
204,nantucket,41.28,-70.1,73.99,94,90,11.41,US,1595255814
205,kapit,2.02,112.93,75.22,91,18,1.25,MY,1595255937
